id,tail_num,modelID,avionics,createdAt,updatedAt
1,N35LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
2,N36LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
3,Skyhawk,735,,2020-08-18 10:25:00,2020-08-18 10:25:00
4,N30LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
5,N34LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
6,N31LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
7,N33LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
8,N32LU,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
9,N798L,195,,2020-08-18 10:25:00,2020-08-18 10:25:00
10,N799L,199,,2020-08-18 10:25:00,2020-08-18 10:25:00
11,PK-MPX,777,,2020-08-18 10:25:00,2020-08-18 10:25:00
12,N75621,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
13,N9774V,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
14,PCATD,735,,2020-08-18 10:25:00,2020-08-18 10:25:00
15,Twin Star,735,,2020-08-18 10:25:00,2020-08-18 10:25:00
16,N48LU,1029,,2020-08-18 10:25:00,2020-08-18 10:25:00
17,N49LU,1029,,2020-08-18 10:25:00,2020-08-18 10:25:00
18,N737WA,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
19,N2484L,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
20,N1594X,1675,,2020-08-18 10:25:00,2020-08-18 10:25:00
21,N59LU,1029,,2020-08-18 10:25:00,2020-08-18 10:25:00
22,N58LU,1029,,2020-08-18 10:25:00,2020-08-18 10:25:00
23,N316PC,720,,2020-08-18 10:25:00,2020-08-18 10:25:00
24,N44884,1607,,2020-08-18 10:25:00,2020-08-18 10:25:00
25,N739FT,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
26,N84326,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
27,N79805,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
28,N790L,195,,2020-08-18 10:25:00,2020-08-18 10:25:00
29,N52HA,753,,2020-08-18 10:25:00,2020-08-18 10:25:00
30,N586SW,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
31,N561SW,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
32,N284YV,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
33,N563SW,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
34,N585SW,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
35,N579SW,1077,,2020-08-18 10:25:00,2020-08-18 10:25:00
