id,manufacture_code,description,category_class,engine_count,engine_type,wtc,tdesig,complex,highPerf,tailWheel,taa,simulator,createdAt,updatedAt
1,AERMACCHI,AMX Ghibli,ASEL,1,Jet,M,AMX,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
2,AERMACCHI,AMX Ghibli,ASEL,1,Jet,M,AMX,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
3,AERMACCHI,F-260E ,ASEL,1,Piston,L,F260,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
4,AERMACCHI,F-260F ,ASEL,1,Piston,L,F260,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
5,AERMACCHI,SF-260E ,ASEL,1,Piston,L,F260,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
6,AERMACCHI,SF-260F ,ASEL,1,Piston,L,F260,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
7,AERMACCHI,T-260 ,ASEL,1,Piston,L,F260,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
8,AERMACCHI,SF-260T ,ASEL,1,Turboprop/Turboshaft,L,F26T,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
9,AERMACCHI,L90 Redigo,ASEL,1,Turboprop/Turboshaft,L,L90,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
10,AERMACCHI,M-290TP Redigo,ASEL,1,Turboprop/Turboshaft,L,L90,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
11,AERMACCHI,LA60 Conestoga,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
12,AERMACCHI,AL-60 ,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
13,AERMACCHI,AL-60 Conestoga,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
14,AERMACCHI,LA60 Trojan,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
15,AERMACCHI,AL-60 Loadmaster ,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
16,AERMACCHI,AL-60 Trojan,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
17,AERMACCHI,Loadmaster ,ASEL,1,Piston,L,LA60,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
18,AERMACCHI,AL-60 Turbine Grizzly ,ASEL,1,Turboprop/Turboshaft,L,LA6T,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
19,AERMACCHI,Turbine Grizzly ,ASEL,1,Turboprop/Turboshaft,L,LA6T,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
20,AERMACCHI,MB-326 ,ASEL,1,Jet,L,M326,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
21,AERMACCHI,MB-339 ,ASEL,1,Jet,L,M339,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
22,AERMACCHI,M-346 Master ,AMEL,2,Jet,M,M346,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
23,AERMACCHI,Master ,AMEL,2,Jet,M,M346,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
24,AERMACCHI,T-346 Master ,AMEL,2,Jet,M,M346,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
25,AEROSPATIALE,ALO2 Alouette 2,Helicopter,1,Turboprop/Turboshaft,L,ALO2,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
26,AEROSPATIALE,SA-318 Alouette 2,Helicopter,1,Turboprop/Turboshaft,L,ALO2,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
27,AEROSPATIALE,ALO3 Alouette 3,Helicopter,1,Turboprop/Turboshaft,L,ALO3,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
28,AEROSPATIALE,SA-316 Alouette 3,Helicopter,1,Turboprop/Turboshaft,L,ALO3,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
29,AEROSPATIALE,SA-319 Alouette 3,Helicopter,1,Turboprop/Turboshaft,L,ALO3,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
30,AEROSPATIALE,AS32 Cougar,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
31,AEROSPATIALE,AS32 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
32,AEROSPATIALE,AS32 Tiger,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
33,AEROSPATIALE,AS-332B Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
34,AEROSPATIALE,AS-332B1 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
35,AEROSPATIALE,AS-332C Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
36,AEROSPATIALE,AS-332F1 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
37,AEROSPATIALE,AS-332L Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
38,AEROSPATIALE,AS-332L Tiger,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
39,AEROSPATIALE,AS-332L1 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
40,AEROSPATIALE,AS-332M Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
41,AEROSPATIALE,AS-332M1 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
42,AEROSPATIALE,AS-532SC Cougar,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
43,AEROSPATIALE,AS-532UC Cougar,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
44,AEROSPATIALE,AS-532UL Cougar,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
45,AEROSPATIALE,Hkp10 Super Puma,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS32,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
46,AEROSPATIALE,AS-332L2 Super Puma Mk2,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS3B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
47,AEROSPATIALE,AS-532A2 Cougar Mk2,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS3B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
48,AEROSPATIALE,AS-532U2 Cougar Mk2,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS3B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
49,AEROSPATIALE,Cougar Mk2,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS3B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
50,AEROSPATIALE,Super Puma Mk2 ,Helicopter-Multi,2,Turboprop/Turboshaft,M,AS3B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
51,AEROSPATIALE,AS50 AStar,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
52,AEROSPATIALE,AS50 Ecureuil,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
53,AEROSPATIALE,AS50 Fennec (AS-550),Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
54,AEROSPATIALE,AS50 SuperStar,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
55,AEROSPATIALE,AS-350 AStar,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
56,AEROSPATIALE,AS-350 Ecureuil,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
57,AEROSPATIALE,AS-350 SuperStar,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
58,AEROSPATIALE,AS-550 Fennec,Helicopter,1,Turboprop/Turboshaft,L,AS50,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
59,AEROSPATIALE,AS55 Fennec (AS-555),Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
60,AEROSPATIALE,AS55 TwinStar,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
61,AEROSPATIALE,AS55 Ecureuil 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
62,AEROSPATIALE,AS-355 Ecureuil 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
63,AEROSPATIALE,AS-355 TwinStar,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
64,AEROSPATIALE,AS-555 Fennec,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS55,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
65,AEROSPATIALE,"AS65 Dauphin 2 (AS-365, SA-365F/N)",Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
66,AEROSPATIALE,AS65 Dolphin,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
67,AEROSPATIALE,AS65 Panther,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
68,AEROSPATIALE,AS-366 Dolphin,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
69,AEROSPATIALE,AS-565 Panther,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
70,AEROSPATIALE,AS-365 Dauphin 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
71,AEROSPATIALE,HH-65 Dolphin,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
72,AEROSPATIALE,SA-365F Dauphin 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
73,AEROSPATIALE,SA-365K Panther,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
74,AEROSPATIALE,SA-365M Panther,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
75,AEROSPATIALE,SA-365N Dauphin 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
76,AEROSPATIALE,SA-366 Dolphin,Helicopter-Multi,2,Turboprop/Turboshaft,L,AS65,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
77,AEROSPATIALE,FOUG Magister,AMEL,2,Jet,L,FOUG,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
78,AEROSPATIALE,CM-170R Magister,AMEL,2,Jet,L,FOUG,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
79,AEROSPATIALE,FREL Super Frelon,Helicopter-Multi,3,Turboprop/Turboshaft,M,FREL,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
80,AEROSPATIALE,SA-321 Super Frelon,Helicopter-Multi,3,Turboprop/Turboshaft,M,FREL,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
81,AEROSPATIALE,GAZL Gazelle,Helicopter,1,Turboprop/Turboshaft,L,GAZL,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
82,AEROSPATIALE,SA-341 Gazelle,Helicopter,1,Turboprop/Turboshaft,L,GAZL,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
83,AEROSPATIALE,SA-342 Gazelle,Helicopter,1,Turboprop/Turboshaft,L,GAZL,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
84,AEROSPATIALE,LAMA Lama,Helicopter,1,Turboprop/Turboshaft,L,LAMA,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
85,AEROSPATIALE,SA-315 Lama,Helicopter,1,Turboprop/Turboshaft,L,LAMA,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
86,AEROSPATIALE,N262 Frégate,AMEL,2,Turboprop/Turboshaft,M,N262,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
87,AEROSPATIALE,N262 Mohawk 298,AMEL,2,Turboprop/Turboshaft,M,N262,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
88,AEROSPATIALE,N-262 ,AMEL,2,Turboprop/Turboshaft,M,N262,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
89,AEROSPATIALE,N-262 Frégate,AMEL,2,Turboprop/Turboshaft,M,N262,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
90,AEROSPATIALE,PUMA Puma,Helicopter-Multi,2,Turboprop/Turboshaft,L,PUMA,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
91,AEROSPATIALE,CH-33 Puma,Helicopter-Multi,2,Turboprop/Turboshaft,L,PUMA,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
92,AEROSPATIALE,SA-330 Puma,Helicopter-Multi,2,Turboprop/Turboshaft,L,PUMA,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
93,AEROSPATIALE,S360 Dauphin,Helicopter,1,Turboprop/Turboshaft,L,S360,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
94,AEROSPATIALE,SA-360 Dauphin,Helicopter,1,Turboprop/Turboshaft,L,S360,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
95,AEROSPATIALE,SA-361 Dauphin,Helicopter,1,Turboprop/Turboshaft,L,S360,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
96,AEROSPATIALE,S601 Corvette,AMEL,2,Jet,L,S601,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
97,AEROSPATIALE,SN-601 Corvette,AMEL,2,Jet,L,S601,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
98,AEROSPATIALE,S65C Dauphin 2 (SA-365C),Helicopter-Multi,2,Turboprop/Turboshaft,L,S65C,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
99,AEROSPATIALE,SA-365C Dauphin 2,Helicopter-Multi,2,Turboprop/Turboshaft,L,S65C,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
100,AEROSPATIALE,TB30 Epsilon,ASEL,1,Piston,L,TB30,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
101,AEROSPATIALE,TB-30 Epsilon,ASEL,1,Piston,L,TB30,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
102,AIRBUS,A-319neo ,AMEL,2,Jet,M,A19N,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
103,AIRBUS,A-320neo ,AMEL,2,Jet,M,A20N,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
104,AIRBUS,A-321neo ,AMEL,2,Jet,M,A21N,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
105,AIRBUS,A-300B4-600 ,AMEL,2,Jet,H,A306,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
106,AIRBUS,A-300C4-600 ,AMEL,2,Jet,H,A306,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
107,AIRBUS,A-300F4-600 ,AMEL,2,Jet,H,A306,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
108,AIRBUS,A-300B2 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
109,AIRBUS,A-300B2-1 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
110,AIRBUS,A-300B2-100 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
111,AIRBUS,A-300B2-200 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
112,AIRBUS,A-300B2K-3 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
113,AIRBUS,A-300B4-100 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
114,AIRBUS,A-300B4-2 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
115,AIRBUS,A-300B4-200 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
116,AIRBUS,A-300C4-200 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
117,AIRBUS,A-300F4-200 ,AMEL,2,Jet,H,A30B,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
118,AIRBUS,A310 Polaris,AMEL,2,Jet,H,A310,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
119,AIRBUS,A-310 ,AMEL,2,Jet,H,A310,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
120,AIRBUS,CC-150 Polaris,AMEL,2,Jet,H,A310,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
121,AIRBUS,A-318 ,AMEL,2,Jet,M,A318,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
122,AIRBUS,A-318 Elite ,AMEL,2,Jet,M,A318,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
123,AIRBUS,Elite ,AMEL,2,Jet,M,A318,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
124,AIRBUS,A319 ACJ,AMEL,2,Jet,M,A319,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
125,AIRBUS,A-319 ,AMEL,2,Jet,M,A319,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
126,AIRBUS,A-319 ACJ,AMEL,2,Jet,M,A319,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
127,AIRBUS,VC-1 ACJ ,AMEL,2,Jet,M,A319,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
128,AIRBUS,A-320 Prestige ,AMEL,2,Jet,M,A320,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
129,AIRBUS,A-320 ,AMEL,2,Jet,M,A320,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
130,AIRBUS,Prestige (A-320) ,AMEL,2,Jet,M,A320,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
131,AIRBUS,A-321 ,AMEL,2,Jet,M,A321,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
132,AIRBUS,A-330-200 ,AMEL,2,Jet,H,A332,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
133,AIRBUS,A-330-200 Prestige ,AMEL,2,Jet,H,A332,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
134,AIRBUS,A-330-200 Voyager ,AMEL,2,Jet,H,A332,1,1,0,1,0,2020-08-18 23:43:00,2020-08-19 23:43:00
135,AIRBUS,KC-30 ,AMEL,2,Jet,H,A332,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
136,AIRBUS,Prestige (A-330-200) ,AMEL,2,Jet,H,A332,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
137,AIRBUS,Voyager ,AMEL,2,Jet,H,A332,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
138,AIRBUS,A-330-300 ,AMEL,2,Jet,H,A333,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
139,AIRBUS,A337 Beluga XL,AMEL,2,Jet,H,A337,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
140,AIRBUS,A-330-700 Beluga XL,AMEL,2,Jet,H,A337,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
141,AIRBUS,A-330-800 ,AMEL,2,Jet,H,A338,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
142,AIRBUS,A-330-900 ,AMEL,2,Jet,H,A339,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
143,AIRBUS,A-340-200 ,AMEL,4,Jet,H,A342,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
144,AIRBUS,A-340-200 Prestige ,AMEL,4,Jet,H,A342,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
145,AIRBUS,Prestige (A-340-200) ,AMEL,4,Jet,H,A342,0,0,0,0,0,2020-08-18 23:43:00,2020-08-19 23:43:00
