id,aircraftType,class,numEngine,tailWheel,complex,highPerf,turboFan,turboProp,rotorcraft,poweredLift,createdAt,updatedAt
1,737-700,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
2,737-800,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
3,7ECA,LAND,1,1,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
4,7GCAA,LAND,1,1,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
5,A319,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
6,A320,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
7,A321,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
8,C-150,LAND,1,0,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
9,C-172,LAND,1,0,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
10,C182T,LAND,1,0,0,1,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
11,C-206,LAND,1,0,0,1,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
12,CRJ200,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
13,CRJ700,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
14,CRJ900,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
15,DA-42,LAND,2,0,1,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
16,EMB-120,LAND,2,0,1,1,0,1,0,0,2020/07/24 12:31,2020/07/25 12:31
17,Frasca,LAND,0,0,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
18,MD88,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
19,MD90,LAND,2,0,1,1,1,0,0,0,2020/07/24 12:31,2020/07/25 12:31
20,PA28-161,LAND,1,0,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
21,PA32R-300,LAND,1,0,1,1,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
22,X-PLANE,LAND,0,0,0,0,0,0,0,0,2020/07/24 12:31,2020/07/25 12:31
