id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
1,00AK,,Lowell Field,Anchor Point,Alaska,US,450,59.94919968,-151.6959991,America/Anchorage,2020-08-18 12:04:00,2020-08-18 12:04:00
2,00AL,,Epps Airpark,Harvest,Alabama,US,820,34.8647995,-86.77030182,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
3,00AZ,,Cordes Airport,Cordes,Arizona,US,3810,34.30559921,-112.1650009,America/Phoenix,2020-08-18 12:04:00,2020-08-18 12:04:00
4,00CA,,Goldstone /Gts/ Airport,Barstow,California,US,3038,35.3504982,-116.8880005,America/Los_Angeles,2020-08-18 12:04:00,2020-08-18 12:04:00
5,00CO,,Cass Field,Briggsdale,Colorado,US,4830,40.62220001,-104.3440018,America/Denver,2020-08-18 12:04:00,2020-08-18 12:04:00
6,00FA,,Grass Patch Airport,Bushnell,Florida,US,53,28.64550018,-82.21900177,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
7,00FL,,River Oak Airport,Okeechobee,Florida,US,35,27.23089981,-80.96920013,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
8,00GA,,Lt World Airport,Lithonia,Georgia,US,700,33.76750183,-84.06829834,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
9,00ID,,Delta Shores Airport,Clark Fork,Idaho,US,2064,48.14530182,-116.2139969,America/Los_Angeles,2020-08-18 12:04:00,2020-08-18 12:04:00
10,00IL,,Hammer Airport,Polo,Illinois,US,840,41.97840118,-89.56040192,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
11,00IS,,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,820,40.02560043,-89.12290192,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
12,00KS,,Hayden Farm Airport,Gardner,Kansas,US,1100,38.72779846,-94.93049622,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
13,00KY,,Robbins Roost Airport,Stanford,Kentucky,US,1265,37.40940094,-84.61969757,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
14,00LS,,Lejeune Airport,Esterwood,Louisiana,US,12,30.13629913,-92.42939758,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
15,00MD,,Slater Field,Federalsburg,Maryland,US,45,38.75709915,-75.75379944,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
16,00MN,,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,1365,46.29999924,-95.70030212,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
17,00MO,,Cooper Flying Service Airport,Alba,Missouri,US,970,37.20280075,-94.41239929,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
18,00MT,,Sands Ranch Airport,Havre,Montana,US,2600,48.53749847,-109.7050018,America/Denver,2020-08-18 12:04:00,2020-08-18 12:04:00
19,00NC,,North Raleigh Airport,Louisburg,North Carolina,US,348,36.08520126,-78.37139893,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
20,00NY,,Weiss Airfield,West Bloomfield,New York,US,1000,42.90010071,-77.49970245,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
21,00OH,,Exit 3 Airport,Wauseon,Ohio,US,785,41.59090042,-84.14219666,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
22,00PN,,Ferrell Field,Mercer,Pennsylvania,US,1301,41.2995,-80.211111,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
23,00PS,,Thomas Field,Loysville,Pennsylvania,US,815,40.37779999,-77.36530304,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
24,00SC,,Flying O Airport,Sumter,South Carolina,US,150,34.00939941,-80.26719666,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
25,00TN,,Ragsdale Road Airport,Manchester,Tennessee,US,1100,35.51589966,-85.95359802,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
26,00TS,,Alpine Range Airport,Everman,Texas,US,670,32.60760117,-97.24199677,America/Chicago,2020-08-18 12:04:00,2020-08-18 12:04:00
27,00VA,,Vaughan Airport,Alton,Virginia,US,551,36.57600021,-78.9991684,America/New_York,2020-08-18 12:04:00,2020-08-18 12:04:00
